G_NUMBER	DATE_ISOLATION	COUNTRY_ISOLATION	Region	ClonalComplex
G36579	1999-01-01 00:00:00.000	South Africa	Southern Africa	eu1
G36580	2003-01-01 00:00:00.000	South Africa	Southern Africa	eu1
G36581	1998-01-01 00:00:00.000	South Africa	Southern Africa	eu2
G36582	1996-01-01 00:00:00.000	South Africa	Southern Africa	eu2
G36583	2000-01-01 00:00:00.000	South Africa	Southern Africa	eu2
G36584	2000-01-01 00:00:00.000	South Africa	Southern Africa	eu1
G36585	1999-01-01 00:00:00.000	South Africa	Southern Africa	eu2
G36586	1998-01-01 00:00:00.000	South Africa	Southern Africa	eu1
G36587	2014-01-01 00:00:00.000	Uruguay	South America	eu1
G36588	2015-01-01 00:00:00.000	Uruguay	South America	eu1
G36589	2015-01-01 00:00:00.000	Uruguay	South America	eu1
G36590	2014-01-01 00:00:00.000	Uruguay	South America	eu1
G36591	2008-01-01 00:00:00.000	Uruguay	South America	eu1
G36592	2014-01-01 00:00:00.000	Uruguay	South America	eu1
G36593	2014-01-01 00:00:00.000	Uruguay	South America	eu1
G36594	2015-01-01 00:00:00.000	Uruguay	South America	eu1
G36595	2015-01-01 00:00:00.000	Uruguay	South America	eu1
G36596	2014-01-01 00:00:00.000	Uruguay	South America	eu1
G36597	2015-01-01 00:00:00.000	Uruguay	South America	eu1
G36598	2015-01-01 00:00:00.000	Uruguay	South America	eu1
G36599	1998-01-01 00:00:00.000	Uruguay	South America	eu1
G36600	2015-01-01 00:00:00.000	Uruguay	South America	eu1
G36601	2015-01-01 00:00:00.000	Uruguay	South America	eu1
G36602	2015-01-01 00:00:00.000	Uruguay	South America	eu1
G36603	2015-01-01 00:00:00.000	Uruguay	South America	eu1
G36604	2015-01-01 00:00:00.000	Uruguay	South America	eu1
